cX,cY,Area,Peri
118,649,0.0,2.0
118,644,3.0,6.83
85,640,2.0,6.0
107,638,0.5,3.41
159,630,1.0,4.0
68,626,0.0,2.0
40,622,1.0,4.0
100,616,0.0,2.0
58,609,0.0,0.0
8,605,0.0,2.0
19,604,5.5,9.41
120,602,1.0,4.0
1,593,0.0,0.0
104,592,0.0,0.0
125,592,12.0,13.66
25,588,3.5,7.41
42,585,0.5,3.41
90,583,0.0,0.0
155,571,0.0,2.0
82,571,0.0,0.0
142,568,0.0,2.0
152,562,3.0,6.83
64,557,7.0,9.66
36,558,18.0,16.49
139,553,0.0,0.0
60,552,0.0,0.0
36,549,0.0,2.0
80,538,0.5,3.41
180,534,7.0,10.83
39,525,8.5,11.41
27,524,0.5,3.41
67,524,11.5,13.07
37,521,1.0,4.0
24,521,0.0,0.0
171,520,1.0,4.83
35,507,0.0,0.0
8,506,13.0,13.66
146,501,0.0,2.0
81,500,0.0,0.0
177,475,5.0,8.83
151,470,14.5,14.24
86,461,0.0,2.0
116,441,0.5,3.41
44,432,0.5,3.41
102,414,3.5,7.41
189,413,3.5,7.41
108,413,0.0,2.0
85,411,0.0,2.0
2,411,2.0,6.0
65,409,0.0,0.0
45,405,4.5,8.24
102,403,0.0,0.0
57,400,0.0,0.0
183,396,0.0,0.0
174,386,4.5,8.24
47,384,1.0,4.83
128,382,0.0,0.0
187,378,0.0,0.0
114,377,1.5,5.41
68,375,1.0,4.0
181,372,4.5,8.24
185,371,4.0,8.0
75,365,0.0,0.0
176,365,6.0,9.66
81,362,1.0,4.83
83,351,0.0,0.0
182,347,0.0,2.0
17,347,1.0,4.0
37,345,3.0,6.83
39,333,0.0,2.0
31,332,1.0,4.0
118,331,2.0,5.66
190,327,7.5,10.24
161,319,3.0,6.83
40,315,0.0,2.0
75,311,1.5,5.41
35,311,5.5,9.41
162,307,0.5,3.41
154,301,1.0,4.0
103,292,0.5,3.41
55,279,0.5,3.41
5,279,0.0,0.0
26,275,2.0,6.0
195,274,5.0,8.83
136,272,0.0,0.0
115,257,1.0,4.0
174,256,1.0,4.0
96,253,0.0,2.0
125,249,0.0,0.0
1,245,1.0,4.0
4,244,0.5,3.41
129,243,0.0,0.0
172,242,0.0,0.0
72,237,5.5,9.07
111,226,0.5,3.41
7,225,8.0,10.83
66,222,0.5,3.41
13,213,1.5,5.41
84,201,0.0,2.0
170,200,2.0,5.66
146,200,7.0,9.66
47,199,7.5,10.24
15,195,0.0,0.0
142,191,0.0,0.0
149,189,8.0,10.83
132,189,3.0,6.83
145,185,5.0,8.83
85,181,0.0,0.0
46,180,0.0,2.0
100,178,0.0,0.0
169,177,3.5,7.41
25,175,3.0,6.83
189,172,0.0,0.0
46,171,0.0,2.0
140,169,0.0,2.0
148,164,0.0,0.0
158,163,0.5,3.41
91,163,0.0,0.0
61,159,1.0,4.0
19,155,1.0,4.0
163,153,0.0,2.0
187,150,0.0,2.0
128,150,1.5,10.24
86,149,0.0,2.0
2,144,0.0,0.0
148,140,0.5,3.41
135,141,4.0,7.66
152,139,2.0,6.0
134,131,0.5,3.41
102,135,34.5,25.07
27,119,0.0,0.0
162,107,5.0,8.83
28,107,4.0,7.66
174,103,0.0,0.0
130,104,9.0,11.66
91,100,0.0,0.0
127,98,0.0,0.0
129,89,6.5,15.07
93,81,0.0,0.0
76,82,8.0,10.83
122,76,8.0,13.66
155,73,0.5,3.41
71,72,0.0,0.0
197,69,0.0,0.0
103,64,0.0,2.0
152,62,0.0,2.0
174,55,0.0,2.0
97,53,0.0,0.0
20,52,4.0,8.0
82,47,0.0,2.0
114,48,11.0,14.49
180,43,0.0,2.0
82,42,0.0,0.0
45,39,0.0,2.0
192,33,2.5,6.24
150,31,0.0,2.0
15,29,4.0,8.0
180,27,0.0,2.0
166,26,0.0,0.0
96,24,0.5,3.41
175,25,29.0,20.49
83,13,1.0,4.0
53,9,3.0,6.83
22,8,0.0,0.0
37,7,0.0,2.0
180,4,0.0,2.0
29,4,0.0,0.0
